"","x","y","elev_mean_3x3","elev_sd_3x3","pct_slope_mean_3x3","pct_slope_sd_3x3","tree_vol_mean_3x3","tree_vol_sd_3x3","dist_rivers_mean_3x3","dist_rivers_sd_3x3","dist_dambo_mean","dist_boundary_mean","fence"
"330",616934.553146464,8602475.86583023,714.4111328125,2.51894474029541,8.41628837585449,1.53911483287811,101.126327514648,15.7227401733398,1168.35522460938,17.2975730895996,1539.58532714844,4396.541015625,0
"331",617944.198827278,8602475.86583023,690.386779785156,2.99719738960266,10.2345247268677,1.66234076023102,116.209808349609,15.370265007019,1027.79077148438,17.0625190734863,1167.57604980469,3450.79516601562,0
"332",618953.844508092,8602475.86583023,656.496948242188,2.78672337532043,9.22906112670898,1.7434378862381,102.529800415039,17.3083648681641,906.688537597656,17.2175025939941,623.785217285156,2481.58764648438,0
"333",619963.490188906,8602475.86583023,637.717224121094,2.08892726898193,6.60996103286743,1.45985805988312,60.1666526794434,19.7636413574219,703.864501953125,17.2618885040283,947.080444335938,1533.21313476562,0
"334",620973.135869719,8602475.86583023,620.838073730469,2.07049775123596,6.66551780700684,1.39585280418396,62.8911666870117,22.6782035827637,350.367889404297,17.0227470397949,1842.29016113281,686.45263671875,0
"352",595731.993849376,8601481.24850016,883.607238769531,6.65474510192871,23.0024318695068,3.22386813163757,77.058479309082,18.1835136413574,2355.01611328125,17.3218688964844,401.342132568359,202.683135986328,0
"353",596741.63953019,8601481.24850016,911.729187011719,7.84537172317505,28.5224380493164,3.5858519077301,79.040397644043,21.9043712615967,2937.91479492188,17.1558666229248,179.172256469727,476.671844482422,0
"354",597751.285211003,8601481.24850016,1011.14538574219,6.45679998397827,23.0604496002197,2.98520946502686,88.5753707885742,18.5994453430176,2421.02709960938,17.322811126709,337.293670654297,1038.98132324219,0
"355",598760.930891817,8601481.24850016,1078.64050292969,6.82996892929077,24.3810653686523,3.24580335617065,99.4034805297852,16.0132026672363,1923.63586425781,17.323335647583,656.467163085938,1535.83801269531,0
"356",599770.576572631,8601481.24850016,910.609558105469,8.74678993225098,31.8112144470215,3.27974009513855,92.0640335083008,20.7911853790283,1874.86987304688,17.3232154846191,680.644775390625,1325.6982421875,0
"357",600780.222253444,8601481.24850016,798.713684082031,7.27923107147217,26.049072265625,3.29065775871277,90.1817474365234,20.6488990783691,2311.24780273438,17.3223552703857,956.68359375,1436.08203125,0
"358",601789.867934258,8601481.24850016,787.680725097656,6.37308883666992,22.4366188049316,3.24862670898438,90.5163955688477,19.3780555725098,3003.15698242188,17.3168449401855,558.864501953125,2052.23193359375,0
"359",602799.513615072,8601481.24850016,825.1123046875,6.27423095703125,22.2645931243896,3.09899806976318,79.4572219848633,17.1054973602295,3361.97216796875,17.1779384613037,262.808288574219,2842.61279296875,0
"360",603809.159295886,8601481.24850016,935.229187011719,5.69061183929443,20.4620342254639,2.489581823349,69.5626068115234,14.9421310424805,2594.74462890625,17.3212642669678,431.494232177734,2961.95141601562,0
"361",604818.804976699,8601481.24850016,892.475769042969,5.5573935508728,19.660852432251,2.75846338272095,89.3719329833984,19.2696933746338,1848.18176269531,17.3097877502441,218.431976318359,2845.33837890625,0
"362",605828.450657513,8601481.24850016,882.651672363281,4.85150957107544,17.091157913208,2.30773639678955,83.6325302124023,17.1811199188232,1148.34399414062,17.3100337982178,296.328277587891,3004.2763671875,0
"363",606838.096338327,8601481.24850016,821.291687011719,5.53627014160156,19.6125736236572,2.78525137901306,112.08708190918,16.1405067443848,544.376953125,17.1822719573975,683.002136230469,3432.48120117188,0
"364",607847.742019141,8601481.24850016,757.975341796875,7.38745164871216,26.4245452880859,3.4693877696991,122.777244567871,18.3009204864502,210.214004516602,16.8081760406494,313.696716308594,4067.0224609375,0
"365",608857.387699954,8601481.24850016,847.452453613281,7.48739862442017,27.0640201568604,3.25801730155945,92.8917007446289,18.9720191955566,694.265930175781,17.2695217132568,424.568206787109,4791.1123046875,0
"366",609867.033380768,8601481.24850016,886.028076171875,6.73013687133789,24.2835254669189,2.96771121025085,112.89022064209,18.0447158813477,1363.7314453125,17.3134098052979,543.279296875,5446.34033203125,0
"367",610876.679061582,8601481.24850016,928.422912597656,3.88902997970581,13.5260105133057,2.02835392951965,117.885719299316,13.8505601882935,1893.87097167969,17.2376556396484,973.8828125,6160.83984375,0
"368",611886.324742396,8601481.24850016,921.913452148438,4.72327136993408,16.6472854614258,2.3680305480957,114.263214111328,15.0383567810059,1846.25671386719,17.0407524108887,1186.83996582031,6948.33642578125,0
"369",612895.97042321,8601481.24850016,826.286560058594,5.76189184188843,20.6111965179443,2.60495328903198,103.830436706543,16.401782989502,1179.13891601562,17.3104839324951,1402.0927734375,7399.87939453125,0
"370",613905.616104023,8601481.24850016,703.742248535156,3.64430642127991,12.5366220474243,1.91579639911652,127.734512329102,14.5071611404419,324.203918457031,16.9958095550537,1653.04223632812,7323.03662109375,0
"371",614915.261784837,8601481.24850016,736.279052734375,5.96966218948364,21.447790145874,2.4876708984375,85.8428955078125,15.4007043838501,615.453063964844,17.2640476226807,820.265563964844,6612.8408203125,0
"372",615924.907465651,8601481.24850016,724.068786621094,4.65653848648071,16.4402389526367,2.28574848175049,99.140266418457,14.6174554824829,1495.09765625,17.3182067871094,413.958160400391,5656.49365234375,0
